Player,DKP Player Average,DKS Player Average,DKP/DKS Player Average,PlayOff 
New York J,6.8125,2406.25,0.002831169,2
"Newsome, Detrez",1.257142857,3028.571429,0.000415094,1
"Newton, Cam",21.75714286,6257.142857,0.003477169,2
"Nix, Roosevelt",0.5125,3000,0.000170833,2
"Njoku, David",8.99375,3812.5,0.002359016,2
Oakland,2.9375,2187.5,0.001342857,2
"Ogunbowale, Dare",0,3000,0,2
"Olawale, Jamize",0.20625,3000,0.00006875,1
"O'Leary, Nick",2.054545455,2536.363636,0.000810036,2
"Olsen, Greg",8.9,4622.222222,0.001925481,2
"Ortiz, Ricky",0.5125,3000,0.000170833,2
"O'Shaughnessy, James",3.242857143,2528.571429,0.001282486,2
"Osweiler, Brock",10.85428571,4571.428571,0.002374375,2
"Parker, Brian",0.691666667,2500,0.000276667,2
"Parker, DeVante",5.809090909,3863.636364,0.001503529,2
"Pascal, Zach",4.453333333,3173.333333,0.001403361,1
"Patrick, Tim",3.825,3212.5,0.001190661,2
"Patterson, Cordarrelle",6.5,3373.333333,0.001926877,1
"Paul, Niles",3.25,2516.666667,0.001291391,2
"Paulsen, Logan",1.606666667,2500,0.000642667,2
"Peake, Charone",0.346153846,3000,0.000115385,2
"Penny, Elijhaa",1.192307692,3000,0.000397436,2
"Penny, Rashaad",5.242857143,3892.857143,0.001346789,1
"Perine, Samaje",1.34,3040,0.000440789,2
"Perkins, Joshua",1.3,2500,0.00052,1
"Perriman, Breshad",6.22,3030,0.002052805,2
"Perry, Senorise",0,3000,0,2
"Peterman, Nathan",4.945,4075,0.001213497,2
"Peterson, Adrian",12.5,4981.25,0.00250941,2
"Pettis, Dante",8.875,3850,0.002305195,2
Philadelphia,6,2681.25,0.002237762,1
"Phillips, Cam",1.9,3000,0.000633333,2
"Phillips, John",0.85,2500,0.00034,2
Pittsburgh,7.25,2631.25,0.002755344,2
"Powell, Bilal",8.757142857,4571.428571,0.001915625,2
"Powell, Brandon",4.55,3000,0.001516667,2
"Prescott, Dak",19.11625,5331.25,0.003585698,1
"Prosise, C.J.",0.98,3080,0.000318182,1
"Pruitt, MyCole",1.8,2321.428571,0.000775385,2
"Pryor, Terrelle",6.6375,2962.5,0.002240506,2
"Quick, Brian",0.96,3000,0.00032,2
"Quinn, Trey",7.5,2166.666667,0.003461538,2
"Ratley, Damion",2.74,3190,0.000858934,2
"Rawls, Thomas",0,3000,0,2
"Reed, Jordan",9.292307692,4776.923077,0.00194525,2
"Reynolds, Josh",6.666666667,3926.666667,0.001697793,1
"Richard, Jalen",9.9125,3950,0.002509494,2
"Richardson, Paul",8.442857143,4100,0.002059233,2
"Riddick, Theo",8.321428571,4228.571429,0.001967905,2
"Ridley, Calvin",13.175,5193.75,0.002536703,2
"Ridley, Stevan",1.527272727,3700,0.000412776,2
"Rivers, Philip",19.56375,6137.5,0.003187576,1
"Roberts, Andre",2.30625,3056.25,0.000754601,2
"Roberts, Michael",4.625,2500,0.00185,2
"Roberts, Seth",7.126666667,3366.666667,0.002116832,2
"Robinson, Aldrick",5.007142857,2957.142857,0.001693237,2
"Robinson, Allen",12.1,5646.153846,0.002143052,1
"Robinson, Demarcus",4.675,3256.25,0.001435701,1
"Rodgers, Aaron",20.59875,6406.25,0.003215415,2
"Rodgers, Jacquizz",5.4375,3293.75,0.001650854,2
"Rodgers, Richard",0.242857143,2500,9.71429E-05,1
"Roethlisberger, Ben",23.99125,6393.75,0.003752297,2
"Rogers, Chester",7.31875,3387.5,0.002160517,1
"Rogers, Eli",7.166666667,3000,0.002388889,2
"Rosen, Josh",9.422857143,4657.142857,0.002023313,2
"Ross, John",6.530769231,3830.769231,0.001704819,2
"Rudolph, Kyle",9.65,3900,0.002474359,2
"Rush, Cooper",0,4200,0,1
"Ryan, Matt",24.4325,6093.75,0.004009436,2
"Samuel, Curtis",10.6,3853.846154,0.002750499,2
"Samuels, Jaylen",9.25,4220,0.002191943,2
San Francisco,3.6875,2262.5,0.001629834,2
"Sanchez, Mark",1.66,4000,0.000415,2
"Sanders, Emmanuel",17.26833333,6308.333333,0.002737384,2
"Sanu, Mohamed",11.65,4475,0.002603352,2
"Saubert, Eric",0.6125,2500,0.000245,2
"Schaub, Matt",0.366666667,4133.333333,8.87097E-05,2
"Schultz, Dalton",2.36,2500,0.000944,1
"Scott, Boston",0,3000,0,1
"Seals-Jones, Ricky",4.953333333,2906.666667,0.001704128,2
Seattle,7.6875,2687.5,0.002860465,1
"Seferian-Jenkins, Austin",5.2,3120,0.001666667,2
"Shaheen, Adam",2.966666667,2500,0.001186667,1
"Sharpe, Tajae",4.946666667,3326.666667,0.001486974,2
"Shepard, Russell",3.4,3041.666667,0.001117808,2
"Shepard, Sterling",11.78125,4993.75,0.002359199,2
"Sherfield, Trent",6.571428571,3142.857143,0.002090909,2
"Sherman, Anthony",1.4875,3000,0.000495833,1
"Simonson, Scott",1.475,2500,0.00059,2
"Sims, Dion",0.3625,2500,0.000145,1
"Slater, Matthew",0,3000,0,1
"Smallwood, Wendell",7.4,3350,0.002208955,1
"Smith, Alex",14.7,5370,0.00273743,2
"Smith, Geno",-0.096,4420,-2.17195E-05,1
"Smith, Ito",7.515384615,3369.230769,0.002230594,2
"Smith, Jonnu",4.907692308,2761.538462,0.001777159,2
"Smith, Keith",0.45625,3000,0.000152083,2
"Smith, Lee",2.353333333,2500,0.000941333,2
"Smith, Rod",2.10625,4181.25,0.000503737,1
"Smith, Shane",0,2550,0,2
"Smith, Torrey",4.545454545,3372.727273,0.001347709,2
"Smith, Tre'Quan",7.113333333,3906.666667,0.001820819,1
"Smith, Vyncint",3.35,3100,0.001080645,1
"Smith-Schuster, JuJu",20.11875,7325,0.002746587,2
"Smythe, Durham",0.916666667,2500,0.000366667,2
"Snead, Willie",8.4,4006.25,0.002096724,1
"Sprinkle, Jeremy",0.94375,2512.5,0.000375622,2
"Sproles, Darren",10.16666667,3700,0.002747748,1
"St. Brown, Equanimeous",4.936363636,3300,0.001495868,2
"Stafford, Matthew",14.76125,5518.75,0.002674745,2
"Sterling, Neal",2.14,2500,0.000856,2
"Stewart, Jonathan",0.566666667,3800,0.000149123,2
"Stills, Kenny",9.361333333,4586.666667,0.002040988,2
"Stocker, Luke",2.71875,2343.75,0.00116,2
"Streater, Rod",-0.366666667,3000,-0.000122222,2
"Sudfeld, Nate",2.34,4000,0.000585,1
"Sutton, Courtland",8.51875,4000,0.002129688,2
"Swaim, Geoff",6.244444444,2677.777778,0.00233195,1
"Switzer, Ryan",4.3375,3193.75,0.001358121,2
"Swoope, Erik",4.957142857,1785.714286,0.002776,1
"Swoopes, Tyrone",3.3,0,#DIV/0!,1
Tampa Bay,4.25,2156.25,0.001971014,2
"Tannehill, Ryan",14.17818182,5036.363636,0.002815162,2
